architecture,outcome,model,feature,development_mean,development_scale,standardized_coefficient,intercept,ridge_alpha,n_development
Transformer,mean_excess_ce_H,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,-0.0030570519434612,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,-0.0017590798690359,0.0340737414045501,1.0,64
Transformer,best_shape_rmse,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0004518192313915,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,core_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.004405302302172,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0054145587290638,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0103417403161762,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,core_profile,log_tau,1.4635963196455286,1.0962954423007851,-7.023023762439474e-05,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0025235951194173,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0017279385980324,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0012102219235715,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.001029115451873,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,-0.0045079623285403,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,-0.0023922538698748,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,0.0031329904992162,0.0279962284950307,1.0,64
Transformer,best_shape_rmse,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,0.0057052814449008,0.0279962284950307,1.0,64
