architecture,outcome,model,feature,development_mean,development_scale,standardized_coefficient,ridge_alpha,intercept
GRU,mean_excess_ce_H,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,-0.0031227848752389,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0017291419770751,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0064742991653007,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0086419860925183,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.0033846154393779,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,0.0085562478792264,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0011870104674076,1.0,0.0246538282827233
GRU,mean_excess_ce_H,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.003067009806754,1.0,0.0246538282827233
GRU,best_shape_rmse,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0034968133448486,1.0,0.0260702661092576
GRU,best_shape_rmse,core_profile,log_gain,-6.86637490599064,2.8741512229655264,-0.0009925116674164,1.0,0.0260702661092576
GRU,best_shape_rmse,core_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0018368543813977,1.0,0.0260702661092576
GRU,best_shape_rmse,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0091799688762643,1.0,0.0260702661092576
GRU,best_shape_rmse,core_profile,log_tau,1.1279984223562816,0.9764976255240192,-0.0023184878518364,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,0.004153397502556,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,4.970441272950424e-05,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.002105044681609,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,-0.0037658263825918,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.0043643037844793,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,-0.003847393152952,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0012210353521112,1.0,0.0260702661092576
GRU,best_shape_rmse,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.0014186432047207,1.0,0.0260702661092576
Transformer,A_width_shape,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0009316998950881,1.0,0.034699443794163
Transformer,A_width_shape,core_profile,log_gain,-6.86637490599064,2.8741512229655264,-0.002954701643883,1.0,0.034699443794163
Transformer,A_width_shape,core_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0027708280921491,1.0,0.034699443794163
Transformer,A_width_shape,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0088302695177105,1.0,0.034699443794163
Transformer,A_width_shape,core_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0036993911834101,1.0,0.034699443794163
Transformer,A_width_shape,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,0.0024405472248209,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0011158278907181,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0024461150515719,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,0.001255265912728,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.0075007562607203,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,-0.0022493984716042,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0025415793174535,1.0,0.0346994437941629
Transformer,A_width_shape,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.0004841920416738,1.0,0.0346994437941629
Transformer,mean_excess_ce_H,K_only,log_K,1.4715260078625387,0.2587944352041693,0.0176440900057665,1.0,0.0338930954026393
Transformer,mean_excess_ce_H,core_profile,log_gain,-6.86637490599064,2.8741512229655264,0.0078916760514668,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,core_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0058975331415542,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,0.0009258166870606,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,core_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0171250659570671,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,0.0029640900672669,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0061492899582003,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.003847752060251,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0165357927960192,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.0028177065715016,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,0.0079493181162689,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0009193016191578,1.0,0.0338930954026394
Transformer,mean_excess_ce_H,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.000820627592572,1.0,0.0338930954026394
Transformer,best_shape_rmse,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0019285473320562,1.0,0.0269742952185626
Transformer,best_shape_rmse,core_profile,log_gain,-6.86637490599064,2.8741512229655264,-0.0023585445416057,1.0,0.0269742952185626
Transformer,best_shape_rmse,core_profile,log_rank,0.6588878379418167,0.5125056740469669,-5.530284186818163e-05,1.0,0.0269742952185626
Transformer,best_shape_rmse,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0066657668989586,1.0,0.0269742952185626
Transformer,best_shape_rmse,core_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0034532360634947,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,0.002643271052324,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,-0.0014815551420309,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0003550706798399,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0011196918255909,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.00629733267973,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,-0.0031845973492726,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0029964083644212,1.0,0.0269742952185626
Transformer,best_shape_rmse,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.0011869683659355,1.0,0.0269742952185626
